author,anomaly_score_iforest,anomaly_score_lof
Siim Keleti,0.16557446193604586,1.574672
Roman Snajdr,0.16075534510258216,1.3198509
Vinduska Jaro,0.15618561925069985,1.5714393
Peter Vrabec,0.15489088067584011,1.2910057
Miroslav Horváth,0.15426584240552998,1.332775
Pavel Konvalina,0.14647985141310815,1.2703092
Marek Cauner,0.14583685014483316,1.2948364
Jana Bednarova,0.14560575854029234,1.1380112
Jiri Pololanik,0.13600823376302063,1.3289336
Jiri Korecko,0.1338243442274707,1.4338604
Marek Tomas,0.13172369987618338,1.2387775
Tadeas Stehlik,0.1314197272607206,1.5243055
Ales Slovencik,0.13043677989283586,1.1665906
Petr Nejedly,0.1279634722871369,1.1192628
Jan Vystrcil,0.12756646186989262,1.0498974
Zdenek Verner Zv,0.12622659241871326,1.0841211
Thomas Cerny Mudr,0.1261419559363154,1.096332
Luděk Zeman,0.1256079128003873,1.1209877
Jiri Svehla,0.12464718240133288,1.1113636
Petr Holik,0.12152378128330998,1.3278471
Jan Jagoš,0.1207258005038776,1.0052956
Roman Suchon,0.12015536687505946,1.5132875
Ladislav Kukla,0.11884922014770749,1.1733735
Josef Hudecek,0.1187455647104616,1.1585397
Hana Jeřábková,0.11812767233443422,1.0736046
Marta Bittnerová,0.11703095260336305,1.0594183
Jiri Chmelik,0.11697941073625995,1.1946434
Čestmír Věrný,0.11684395423223737,1.2589414
Jan Růžek,0.11659217672594169,1.1873815
Jiří Hladík,0.11480933495144541,1.2472942
Jan Capek,0.11347707653580097,1.0679448
Jiří Hodula,0.11288212562201194,1.2939582
Filip Mucala,0.1127880614417548,1.0470808
Danislav Jancuska,0.11225556507018053,1.2524121
Miloslav Fohl,0.11197284406236063,1.2748449
Mojmír Vyslocký,0.11116931718624867,1.1995621
Marketa Windsor,0.11082249020947899,1.0943699
Jaromir Radecky,0.1098496053369582,1.0763829
Ervin Posvic,0.10952318782626591,1.6583687
Jan Skřivan,0.108922967419954,1.0163112
Eduard Straka,0.10765873260516079,1.0753067
Roman Drahovzal,0.10760672293409579,1.1837106
Martin Popelka,0.10596339351571382,1.1680568
Jan Klas,0.10332417861227605,1.2247471
Pavel Studenský,0.10319391000789213,1.2370012
Zdeněk Zapletal,0.10211099175045979,1.2412179
Stefan Pistik,0.10198083322010465,1.4029816
Viktor Pokorný,0.101436630510094,1.0293738
Jiří Babka,0.10117198273184413,1.2707492
Tomas Zetocha,0.10030849915807605,1.0361972
Antonio Bergamasco,0.09875229134093377,1.082322
Jaroslav Drozd,0.09842621730344103,1.0881512
Petr Hlobil,0.09828631146166422,1.0362461
Petr Zlámal,0.09766397163009088,1.3596048
Jirka Ves,0.09749076879597485,1.0784906
Antonín Seďa,0.09711378263450143,1.1140983
Kubat Ladik,0.09694259629758106,1.3632863
Pavel Babinec,0.09690229846833143,1.0618031
Jan Runda,0.09683074669088365,1.2698736
Martina Malotová,0.09681305378522742,1.083133
Vladimír Mrkva,0.09590990662738452,1.2072333
Štefan Valentovič,0.09550197477360367,1.2331045
Dusan Klasovity,0.09541149520034298,1.0184299
Štefan Šipoš,0.09540736688693219,1.2629813
Majka Svobodová,0.0950039271973866,1.2602379
Tomik Bruno,0.09441425101842282,1.3176322
František Mrázek,0.09406626662512318,1.145973
Honza Zidek,0.09368079537536667,1.0112642
Marek Plachý,0.09321881385357444,1.0615952
Josef Marek,0.09308762766369583,1.1165204
Mirek Slidel,0.09278201136294872,1.0934656
Lukáš Brumer,0.09264257361658412,1.1584257
Libor Koutecky,0.09150336446819773,1.422326
Josef Kameníček,0.09063409399321565,1.284497
Helena Ulčaková,0.08969269522207035,1.1762655
Lenka Kozderová,0.0896877928145714,1.1419022
Roman Machala,0.0896602329290287,1.0662262
Dana Zelková,0.08945080608323597,1.1999813
Frantisek Hakl,0.08934915748275418,1.0272243
Artur Kopac,0.08916275687154251,1.2721564
Jan Trejbal,0.08889066128681022,1.07279
Miloš Brejcha,0.08874516317534598,1.0053009
Jiri Ryba,0.08780248520414735,1.0286758
Petr Kotala,0.08771960392096834,1.1209651
Slavek Pesule,0.08767027138984784,1.2963586
Pavel Wilczek,0.0875254003328666,1.0155457
Vlastimil Zajíc,0.08733528944671853,1.1370656
Jan Parous,0.08725265122686832,1.0074763
Stepan Jaros,0.08678947432363071,1.384094
Lenka Vitkova,0.08611176278505595,1.2395704
Tomáš Vaculík,0.08587889086447054,1.3430525
Ivan Petrík,0.08554530186687781,1.1847388
Martin Zdráhal,0.08504126401602197,1.1578702
Svatopluk Dědic,0.08493638765836176,1.0238303
Jerabek Pavel,0.08454216243114354,1.0193274
Jiří Trojánek,0.08449885174899907,1.1644374
