author,anomaly_score_iforest,anomaly_score_lof
Ervin Posvic,0.10952318782626591,1.6583687
Julius Barák,0.05978578213240848,1.6195263
Petr Hajner,-0.002848812355762953,1.6049318
Siim Keleti,0.16557446193604586,1.574672
Vinduska Jaro,0.15618561925069985,1.5714393
Jaroslav Kubík,0.04195845851282842,1.5543869
Libor Weizenbauer,0.023893841386467773,1.5260326
Tadeas Stehlik,0.1314197272607206,1.5243055
Roman Suchon,0.12015536687505946,1.5132875
Lubino Nováček,0.05773616178095953,1.5118071
Antonín Bártek,0.002556086891755127,1.4999064
Vladimír Kalinay,0.07864282232108166,1.4915679
Milica Janska,0.08395687989605383,1.4522102
Jaroslav Rajlich,0.008798299510932972,1.449736
Tomáš Búry,0.04823336127125899,1.4482591
Radek Voříšek,0.003492962367912744,1.4423763
Ivana Kudrnová,0.06403870083364205,1.4406526
Karel Nutek,0.03232259725937803,1.4378428
Jiri Korecko,0.1338243442274707,1.4338604
Richard Baťa,-0.025774121490289292,1.427643
Libor Koutecky,0.09150336446819773,1.422326
Jaroslav Rafaj,0.03309802083092783,1.421259
Stefan Pistik,0.10198083322010465,1.4029816
Martin Telicak,0.016644128556798976,1.4018534
Bucher Zbyněk,0.0027976222029797992,1.393779
Romana Václavková,0.04464414810769668,1.3908181
Vaclav Chytil,0.0180222180824135,1.3879528
Irena Dulavova,0.05086830398339515,1.3873056
Martin Lyko,0.05335427952645855,1.3871838
Martin Hajný,-0.008605595941447552,1.3854686
Vítězslav Růžička,-0.01755777566647626,1.3850411
Stanislav Vokral,-0.0018404933087748931,1.3841822
Stepan Jaros,0.08678947432363071,1.384094
Tomaško Juraj,0.03432861740928639,1.3827201
Ivo Patta,0.04592237339299676,1.3808538
Jan Taraba,-0.016912511617054427,1.3785777
Miloš Šimeček,-0.00799885980873899,1.3756775
Karel Andrle,-0.018417836350669348,1.3735363
Pavel Hedvičák,0.03494692213737227,1.3652127
Jaromir David,0.05045704773297577,1.3637673
Kubat Ladik,0.09694259629758106,1.3632863
Petr Zlámal,0.09766397163009088,1.3596048
Zdenek Potomsky,0.010277086157703952,1.3588731
Vladimír Frajs,0.0831563294922183,1.3560793
Vladimír Brynda,-0.015809152774226343,1.351142
Landa Pavel,-0.03899735853118136,1.3485866
Radek Prudil,0.08257921625765174,1.3479131
Honza Drdla,0.002374458743079233,1.3472444
Gabco Zdenek,0.009407410674576344,1.3456676
Jiří Kočenda,-0.030716850043863875,1.3452504
Tomáš Vaculík,0.08587889086447054,1.3430525
František Janecek,-0.04727125242418667,1.3411235
Ladislav Jakubik,-0.013104553882010983,1.3402774
Martin Sýkora,-0.0203083664521731,1.3398479
Josef Svihla,0.06263342055391397,1.3378254
David Doležel,-0.010281331097777846,1.3373668
Pavla Kisela,-0.030069985671013932,1.3371823
Miloslav Musil,0.037818129727902994,1.3351411
Daniel Vyhlídka,0.04103882209416032,1.3347567
Tomáš Lasl,-0.0033882792877862333,1.3336474
František,0.01512645688536468,1.3327792
Miroslav Horváth,0.15426584240552998,1.332775
Miroslav Švandrlík,0.01852988097696473,1.332095
Libor Stražický,0.07127616376851575,1.3293798
Vít Suchý,-0.008229746036140406,1.3290684
Jiri Pololanik,0.13600823376302063,1.3289336
Petr Holik,0.12152378128330998,1.3278471
Miloslav Böhm,0.027514992875951827,1.3244966
Tomáš Trlica,-0.0016168046811535497,1.3241735
Martin Dušek,-0.025268465999634337,1.3239456
Michael Budera,-0.024264291299825824,1.3222647
Karel Hochperk,0.036548226014426866,1.321322
Janek Kloss,-0.021665561372304243,1.3212752
Ondra Sobota,-0.0021525467866721493,1.3212563
